,종목명,현재가,전일대비,등락률
0,KODEX 200선물인버스2X,"2,035",상승 5,+0.25%
1,흥아해운,"3,730",상승 260,+7.49%
2,HB테크놀러지,"3,690",상승 255,+7.42%
3,에이프로젠,"1,823",상승 252,+16.04%
4,KODEX 코스닥150선물인버스,"3,475",보합,0.00%
5,KODEX 인버스,"4,140",상승 5,+0.12%
6,디에이테크놀로지,203,하락 61,-23.11%
7,이스타코,892,상승 120,+15.54%
8,삼성전자,"84,100",상승 500,+0.60%
9,SDN,"1,559",하락 61,-3.77%
10,디아이,"17,580","상승 1,880",+11.97%
11,솔루스첨단소재,"19,900",보합,0.00%
12,KODEX 코스닥150레버리지,"11,525",하락 20,-0.17%
13,KODEX 레버리지,"19,745",하락 30,-0.15%
14,바이오스마트,"5,310","상승 1,220",+29.83%
