"시점"	"동별(1)"	동별(2)	세대 (세대)	계	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
"시점"	"동별(1)"	동별(2)	소계	소계	남자	여자	소계	남자	여자	소계	남자	여자	소계	소계
"2023 1/4"	"합계"	소계	4463385	9668008	4672170	4995838	9426404	4566299	4860105	241604	105871	135733	2.11	1690961
"2023 1/4"	"합계"	종로구	72679	152212	72819	79393	141060	68170	72890	11152	4649	6503	1.94	28265
"2023 1/4"	"합계"	중구	63862	131390	63576	67814	120963	58699	62264	10427	4877	5550	1.89	25353
"2023 1/4"	"합계"	용산구	109735	232482	112608	119874	217756	104640	113116	14726	7968	6758	1.98	39478
"2023 1/4"	"합계"	성동구	133513	287240	139171	148069	280240	136233	144007	7000	2938	4062	2.10	48238
"2023 1/4"	"합계"	광진구	169787	350925	167983	182942	336801	162209	174592	14124	5774	8350	1.98	54854
"2023 1/4"	"합계"	동대문구	171140	354884	172178	182706	337574	165933	171641	17310	6245	11065	1.97	65154
"2023 1/4"	"합계"	중랑구	187898	389928	191122	198806	385003	189186	195817	4925	1936	2989	2.05	76116
"2023 1/4"	"합계"	성북구	197859	441855	210937	230918	430100	206634	223466	11755	4303	7452	2.17	78427
"2023 1/4"	"합계"	강북구	144557	296934	143493	153441	292762	142028	150734	4172	1465	2707	2.03	67056
"2023 1/4"	"합계"	도봉구	138376	312858	151589	161269	310509	150806	159703	2349	783	1566	2.24	68114
"2023 1/4"	"합계"	노원구	218341	506989	243433	263556	502515	241532	260983	4474	1901	2573	2.30	93279
"2023 1/4"	"합계"	은평구	213989	468766	222911	245855	464871	221350	243521	3895	1561	2334	2.17	90556
"2023 1/4"	"합계"	서대문구	147146	321966	151089	170877	308437	146732	161705	13529	4357	9172	2.10	56785
"2023 1/4"	"합계"	마포구	181034	376542	175162	201380	365570	171215	194355	10972	3947	7025	2.02	56582
"2023 1/4"	"합계"	양천구	181072	442345	215983	226362	439219	214703	224516	3126	1280	1846	2.43	73522
"2023 1/4"	"합계"	강서구	274283	573711	275046	298665	568287	272693	295594	5424	2353	3071	2.07	98659
"2023 1/4"	"합계"	구로구	184268	417983	206221	211762	395183	194039	201144	22800	12182	10618	2.14	77259
"2023 1/4"	"합계"	금천구	120051	242467	122577	119890	229307	115624	113683	13160	6953	6207	1.91	43772
"2023 1/4"	"합계"	영등포구	190252	398999	196502	202497	376614	184973	191641	22385	11529	10856	1.98	66014
"2023 1/4"	"합계"	동작구	186534	390377	188069	202308	380201	183900	196301	10176	4169	6007	2.04	68766
"2023 1/4"	"합계"	관악구	285914	502628	251376	251252	487815	245376	242439	14813	6000	8813	1.71	83420
"2023 1/4"	"합계"	서초구	168234	408979	195160	213819	404831	193158	211673	4148	2002	2146	2.41	63328
"2023 1/4"	"합계"	강남구	234735	537817	257121	280696	532798	254811	277987	5019	2310	2709	2.27	83097
"2023 1/4"	"합계"	송파구	285489	663704	319139	344565	658006	316564	341442	5698	2575	3123	2.30	105161
"2023 1/4"	"합계"	강동구	202637	464027	226905	237122	459982	225091	234891	4045	1814	2231	2.27	79706
   
