,매장명,위도,경도,매장타입,주소,전화번호
0,역삼아레나빌딩,37.501087,127.043069,pin_general,서울특별시 강남구 언주로 425 (역삼동),1522-3232
1,논현역사거리,37.510178,127.022223,pin_general,서울특별시 강남구 강남대로 538 (논현동),1522-3232
2,신사역성일빌딩,37.5139309,127.0206057,pin_general,서울특별시 강남구 강남대로 584 (논현동),1522-3232
3,국기원사거리,37.499517,127.031495,pin_general,서울특별시 강남구 테헤란로 125 (역삼동),1522-3232
4,대치재경빌딩,37.494668,127.062583,pin_general,서울특별시 강남구 남부순환로 2947 (대치동),1522-3232
5,봉은사역,37.515000,127.063196,pin_general,서울특별시 강남구 봉은사로 619 (삼성동),1522-3232
6,압구정윤성빌딩,37.5227934,127.0286009,pin_general,서울특별시 강남구 논현로 834 (신사동),1522-3232
7,코엑스별마당,37.510150,127.060275,pin_general,서울특별시 강남구 영동대로 513 (삼성동),1522-3232
8,삼성역섬유센터R,37.507750,127.060651,pin_reserve,서울특별시 강남구 테헤란로 518 (대치동),1522-3232
9,압구정R,37.5273669,127.033061,pin_reserve,서울특별시 강남구 언주로 861 (신사동),1522-3232
10,수서역R,37.488008,127.102650,pin_reserve,서울특별시 강남구 광평로 281 (수서동),1522-3232
11,양재강남빌딩R,37.485192,127.036685,pin_reserve,서울특별시 강남구 남부순환로 2621 (도곡동),1522-3232
12,선릉동신빌딩R,37.505321,127.050409,pin_reserve,서울특별시 강남구 테헤란로 409 (삼성동),1522-3232
13,봉은사로선정릉,37.511293,127.048409,pin_general,서울특별시 강남구 봉은사로 446 (삼성동),1522-3232
14,강남오거리,37.502117,127.026672,pin_general,서울특별시 강남구 봉은사로2길 39 (역삼동),1522-3232
15,스타필드코엑스몰R,37.50999,127.061455,pin_reserve,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,1522-3232
16,강남구청정문,37.518181,127.045995,pin_general,서울특별시 강남구 학동로 419 (청담동),1522-3232
17,도곡공원,37.492805,127.041309,pin_general,서울특별시 강남구 도곡로 205 (역삼동),1522-3232
18,강남R,37.497711,127.028439,pin_reserve,서울특별시 강남구 강남대로 390 (역삼동),1522-3232
19,대치은마사거리,37.498973,127.060172,pin_general,서울특별시 강남구 도곡로 457 (대치동),1522-3232
20,청담영동대로,37.522156,127.056449,pin_general,서울특별시 강남구 영동대로 720 (청담동),1522-3232
21,압구정,37.526283,127.02956,pin_general,서울특별시 강남구 압구정로30길 17 (신사동),1522-3232
22,신사가로수,37.521933,127.022521,pin_general,서울특별시 강남구 가로수길 59 ,1522-3232
23,청담스타R,37.525216,127.041827,pin_reserve,서울특별시 강남구 도산대로57길 24 (청담동),1522-3232
24,강남우성,37.492396,127.03091,pin_general,서울특별시 강남구 강남대로 328 (역삼동),1522-3232
25,학동사거리,37.52236449999999,127.03795430000002,pin_general,서울특별시 강남구 도산대로 328 (논현동),1522-3232
26,대치사거리,37.503331,127.058817,pin_general,서울특별시 강남구 삼성로 402 (대치동),1522-3232
27,포스코사거리,37.5075307,127.05742710000004,pin_general,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,1522-3232
28,을지병원사거리,37.5191632,127.0286446,pin_general,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",1522-3232
29,신사역,37.5162021,127.0207428,pin_general,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,1522-3232
30,도곡역,37.492167,127.057398,pin_general,서울특별시 강남구 남부순환로 2909 (대치동),1522-3232
31,서울세관사거리,37.514887,127.035653,pin_general,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,1522-3232
32,청담사거리,37.5236351,127.04686509999999,pin_general,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,1522-3232
33,한티역,37.496801,127.055055,pin_general,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",1522-3232
34,역삼초교사거리,37.4941059,127.03299730000003,pin_general,서울특별시 강남구 역삼로 123 (역삼동),1522-3232
