상품명,가격,배송완료 에정,별점,url
"삼육두유 검은콩 칼슘, 190ml, 48개","29,630원",내일(목) 도착 보장,4.5,https://www.coupang.com/vp/products/6345269892?itemId=19666383736&vendorItemId=86681028923&sourceType=CATEGORY&categoryId=194906
"탐사수 무라벨, 2L, 36개","16,800원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/5625704601?itemId=19013169354&vendorItemId=86137789886&sourceType=CATEGORY&categoryId=194906
"탐사수 무라벨, 2L, 24개","12,690원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/5625704601?itemId=11696984031&vendorItemId=79548063314&sourceType=CATEGORY&categoryId=194906
"슈가로로 메론소다 제로 탄산음료, 250ml, 24개","17,500원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7842584192?itemId=21353487308&vendorItemId=88411103103&sourceType=CATEGORY&categoryId=194906
"탐사수 무라벨, 500ml, 60개","12,590원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/5625704601?itemId=11696970903&vendorItemId=79547658934&sourceType=CATEGORY&categoryId=194906
"펩시 제로슈거 라임향, 210ml, 30개","14,900원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/5071892418?itemId=18296977677&vendorItemId=74157319832&sourceType=CATEGORY&categoryId=194906
"풀무원 풀스키친 스위트 플럼주스, 40개, 100ml","23,590원",내일(목) 도착 예정,5.0,https://www.coupang.com/vp/products/5380570488?itemId=7990608350&vendorItemId=87685796087&sourceType=CATEGORY&categoryId=194906
"팔도 뽀로로 음료 페트 235ml, 딸기맛, 24개","16,500원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/10738872?itemId=420839&vendorItemId=3051294076&sourceType=CATEGORY&categoryId=194906
"서울우유 멸균우유, 1L, 10개","17,200원",내일(목) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/6659186192?itemId=2660581138&vendorItemId=70651228408&sourceType=CATEGORY&categoryId=194906
"매일유업 매일야채 고농축 당근의 힘, 125ml, 24개","20,660원",내일(목) 도착 보장,4.5,https://www.coupang.com/vp/products/7830508418?itemId=21295709822&vendorItemId=81196318570&sourceType=CATEGORY&categoryId=194906
"컨디션 헛개, 100ml, 10개","23,060원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/190665070?itemId=546465540&vendorItemId=3020727854&sourceType=CATEGORY&categoryId=194906
"탐사수, 1L, 24개","9,990원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/27613130?itemId=109845991&vendorItemId=3289410352&sourceType=CATEGORY&categoryId=194906
"제주삼다수 그린, 500ml, 40개","19,200원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7666070794?itemId=14842822781&vendorItemId=86469902027&sourceType=CATEGORY&categoryId=194906
"미에로화이바 PET, 350ml, 24개","23,480원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/1651247?itemId=20483209647&vendorItemId=3071875476&sourceType=CATEGORY&categoryId=194906
"뽀로로 어린이음료 밀크맛 235 ml, 235ml, 24개","16,320원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/10738872?itemId=46553452&vendorItemId=3051299677&sourceType=CATEGORY&categoryId=194906
"하늘보리 에코, 500ml, 20개","15,420원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7420809688?itemId=18446079238&vendorItemId=85587006898&sourceType=CATEGORY&categoryId=194906
"광동 밀싹 보리차, 500ml, 24개","16,220원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/6976225273?itemId=15278705126&vendorItemId=85917946585&sourceType=CATEGORY&categoryId=194906
"이롬 황성주 박사의 국산콩 두유 무가당, 190ml, 64개","31,110원",내일(목) 도착 보장,4.5,https://www.coupang.com/vp/products/7525629083?itemId=7960269743&vendorItemId=4341858273&sourceType=CATEGORY&categoryId=194906
"맘마밀요미요미 유기농 주스 125ml, 과일믹스, 24개","15,400원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7885639680?itemId=18626124407&vendorItemId=3051735988&sourceType=CATEGORY&categoryId=194906
"파스퇴르 무항생제 인증 바른목장 우유, 125ml, 24개","17,300원",내일(목) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/1391299352?itemId=2426642363&vendorItemId=70420649751&pickType=COU_PICK&sourceType=CATEGORY&categoryId=194906
"칠성사이다, 210ml, 30개","13,950원",내일(목) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/1248984035?itemId=2247379090&vendorItemId=70244784068&sourceType=CATEGORY&categoryId=194906
"웅진 더빅토리아 라임 탄산음료, 500ml, 20개","10,290원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/2516048?itemId=355805&vendorItemId=3000262450&sourceType=CATEGORY&categoryId=194906
"매일유업 매일두유 99.9, 190ml, 48개","23,500원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7757148162?itemId=20909725750&vendorItemId=74756166074&sourceType=CATEGORY&categoryId=194906
"요미요미 튼튼주스 125ml, 배도라지, 24개","16,300원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/6257124462?itemId=12718339474&vendorItemId=79985040418&sourceType=CATEGORY&categoryId=194906
"매일유업 매일야채 고농축 토마토의 힘, 125ml, 24개","21,990원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7830515340?itemId=21295742142&vendorItemId=81196318587&sourceType=CATEGORY&categoryId=194906
"탐사스파클링 플레인 무라벨, 500ml, 40개","17,050원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/6304053877?itemId=19013169836&vendorItemId=86137790283&sourceType=CATEGORY&categoryId=194906
"팔도 밥알없는 비락 식혜, 175ml, 60개","17,540원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/6812504842?itemId=19989318490&vendorItemId=85322099545&sourceType=CATEGORY&categoryId=194906
"웅진 하늘보리, 500ml, 40개","25,330원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/218742759?itemId=18016954815&vendorItemId=85172290052&sourceType=CATEGORY&categoryId=194906
"파스퇴르 무항생제 인증 바른목장 우유, 흰우유, 125ml, 24개","17,300원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/20212391?itemId=18142247043&vendorItemId=3139905374&sourceType=CATEGORY&categoryId=194906
"올타 100% 레몬 리얼 톡톡 레몬즙 15mlX15포 6박스 (총 90포), 15ml","52,400원",4/20(토) 도착 예정,4.5,https://www.coupang.com/vp/products/7295217200?itemId=18654805563&vendorItemId=85789569624&sourceType=CATEGORY&categoryId=194906
"더빅토리아 무라벨 레몬 탄산음료, 350ml, 40개","17,230원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/8011355467?itemId=22351658509&vendorItemId=87348423511&sourceType=CATEGORY&categoryId=194906
"블루다이아몬드 아몬드 브리즈 언스위트, 190ml, 24개","15,100원",내일(목) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/1248818701?itemId=2660442840&vendorItemId=70651089897&sourceType=CATEGORY&categoryId=194906
"웅진빅토리아 썸머스노우 탄산음료, 500ml, 20개","10,290원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7426622216?itemId=19279284088&vendorItemId=86351916632&sourceType=CATEGORY&categoryId=194906
"일화차시 호박팥차, 500ml, 20개","16,580원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7644083636?itemId=20320373554&vendorItemId=87405803012&sourceType=CATEGORY&categoryId=194906
"탐사 샘물, 2L, 30개","13,490원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7689270513?itemId=20877904956&vendorItemId=87945141062&sourceType=CATEGORY&categoryId=194906
"핫식스 더킹 퍼플 그레이프 에너지 드링크, 355ml, 24개","22,510원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7855692517?itemId=21483923742&vendorItemId=88538059384&sourceType=CATEGORY&categoryId=194906
"팔도 밥알없는 비락 식혜, 175ml, 90개","26,000원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/6812504842?itemId=17169336327&vendorItemId=85322100587&sourceType=CATEGORY&categoryId=194906
"연세우유 소화가 잘되는 우유, 24개, 190ml","18,670원",내일(목) 도착 보장,4.5,https://www.coupang.com/vp/products/7427149534?itemId=19281659792&vendorItemId=78010652560&sourceType=CATEGORY&categoryId=194906
"삼육두유 검은콩 호두와 아몬드 두유, 140ml, 24개","12,190원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7572657013?itemId=21985067601&vendorItemId=86433881615&sourceType=CATEGORY&categoryId=194906
"트레비 레몬 ECO 탄산수, 20개, 350ml","11,900원",내일(목) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/6135464933?itemId=11729744593&vendorItemId=79003711255&sourceType=CATEGORY&categoryId=194906
"웰치스 제로 샤인머스캣, 355ml, 24개","14,540원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7683444811?itemId=20317744391&vendorItemId=85729064265&sourceType=CATEGORY&categoryId=194906
"웅진 광명찾은 결명자차, 500ml, 20개","13,230원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7242838?itemId=32014141&vendorItemId=3047370481&sourceType=CATEGORY&categoryId=194906
"링티 제로 레몬라임맛 500ml 24개., 24개","26,500원",내일(목) 도착 예정,5.0,https://www.coupang.com/vp/products/7833678225?itemId=21309863039&vendorItemId=87924149695&sourceType=CATEGORY&categoryId=194906
"탐사수 무라벨, 2L, 30개","15,290원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/5625704601?itemId=13430253618&vendorItemId=80771756696&sourceType=CATEGORY&categoryId=194906
"블루다이아몬드 아몬드브리즈 초콜렛 두유, 190ml, 24개","17,790원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7646920?itemId=21317452329&vendorItemId=3030343482&sourceType=CATEGORY&categoryId=194906
"서울우유 멸균 흰우유, 200ml, 48개","26,470원",내일(목) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/6659186192?itemId=19565922209&vendorItemId=86673788872&sourceType=CATEGORY&categoryId=194906
"밀키스 제로, 300ml, 24개","17,690원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7759944959?itemId=20992242409&vendorItemId=85281046807&sourceType=CATEGORY&categoryId=194906
"탐사 아쿠아 스파클링 플레인, 40개, 500ml","15,300원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7419943131?itemId=19772468961&vendorItemId=86875516814&sourceType=CATEGORY&categoryId=194906
"탐사수, 2L, 30개","15,290원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/27613130?itemId=16104582870&vendorItemId=83301837682&sourceType=CATEGORY&categoryId=194906
"맥콜, 210ml, 30개","14,180원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/5184612354?itemId=17728989929&vendorItemId=84893737529&sourceType=CATEGORY&categoryId=194906
"매일유업 요미요미 안심아이차 125ml, 24개","11,800원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/303072036?itemId=18626123171&vendorItemId=5348703902&sourceType=CATEGORY&categoryId=194906
"파스퇴르 무항생제 인증 바른목장 우유, 바른목장 190ml, 190ml, 24개","17,930원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/20212391?itemId=215493545&vendorItemId=3003766600&sourceType=CATEGORY&categoryId=194906
"상하목장 유기농 우유, 125ml, 24개","19,800원",내일(목) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/1248809001?itemId=2247172040&vendorItemId=70244580730&sourceType=CATEGORY&categoryId=194906
"허쉬 초콜릿 드링크 프로틴, 235ml, 24개","18,800원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/5638409948?itemId=9190988606&vendorItemId=76476765160&sourceType=CATEGORY&categoryId=194906
"연세유업 세브란스 전용목장 A2단백우유, 125ml, 24개","17,900원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7660544404?itemId=20407711552&vendorItemId=87489851733&sourceType=CATEGORY&categoryId=194906
"프렌치카페 로스터리 그란데 아메리카노 무라벨, 400ml, 20개","18,900원",내일(목) 도착 보장,4.5,https://www.coupang.com/vp/products/7216370102?itemId=18275951365&vendorItemId=85422029714&sourceType=CATEGORY&categoryId=194906
"이롬 황성주 국산콩 검은콩 고칼슘 두유, 24개, 190ml","13,630원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/5116596401?itemId=10833917555&vendorItemId=3000036302&sourceType=CATEGORY&categoryId=194906
"포카리스웨트, 340ml, 20개","14,000원",내일(목) 새벽 도착 보장,5.0,https://www.coupang.com/vp/products/1555496136?itemId=2426620117&vendorItemId=70420627783&sourceType=CATEGORY&categoryId=194906
"웅진 하늘보리, 500ml, 24개","15,480원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/218742759?itemId=34689229&vendorItemId=3051369121&sourceType=CATEGORY&categoryId=194906
"트레비 라임 ECO, 350ml, 20개","11,960원",내일(목) 도착 보장,5.0,https://www.coupang.com/vp/products/7410009818?itemId=17410977098&vendorItemId=76203338434&sourceType=CATEGORY&categoryId=194906
