기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2023.07.17.,1,1,0,1,0,100.0,0.0,0,22,0,22,0,0,0,0
2023.07.18.,0,0,0,0,0,0.0,0.0,-1,21,-1,21,0,0,0,0
2023.07.19.,0,0,0,0,0,0.0,0.0,0,21,0,21,0,0,0,0
2023.07.20.,2,0,2,2,0,0.0,100.0,0,21,0,21,0,0,0,0
2023.07.21.,0,0,0,0,0,0.0,0.0,0,21,0,21,0,0,0,0
2023.07.22.,0,0,0,0,0,0.0,0.0,0,21,0,21,0,0,0,0
2023.07.23.,1,1,0,1,0,100.0,0.0,0,21,0,21,0,0,0,0
2023.07.24.,3,0,3,5,0,0.0,100.0,1,22,1,22,0,0,0,0
2023.07.25.,8,1,7,8,0,12.5,87.5,3,25,3,25,0,0,0,0
2023.07.26.,3,0,3,3,0,0.0,100.0,1,26,1,26,0,0,0,0
2023.07.27.,2,0,2,2,0,0.0,100.0,1,27,1,27,0,0,0,0
2023.07.28.,2,1,1,3,0,50.0,50.0,1,28,1,28,0,0,0,0
2023.07.29.,0,0,0,0,0,0.0,0.0,0,28,0,28,0,0,0,0
2023.07.30.,0,0,0,0,0,0.0,0.0,0,28,0,28,0,0,0,0
2023.07.31.,0,0,0,0,0,0.0,0.0,0,28,0,28,0,0,0,0
2023.08.01.,0,0,0,0,0,0.0,0.0,0,28,0,28,0,0,0,0
2023.08.02.,6,0,6,6,0,0.0,100.0,0,28,0,28,0,0,0,0
2023.08.03.,1,0,1,2,0,0.0,100.0,1,29,1,29,0,0,0,0
2023.08.04.,3,0,3,3,0,0.0,100.0,3,32,3,32,0,0,0,0
2023.08.05.,1,0,1,1,1,0.0,100.0,1,33,1,33,0,0,0,0
2023.08.06.,2,1,1,2,0,50.0,50.0,0,33,0,33,0,0,0,0
2023.08.07.,0,0,0,0,0,0.0,0.0,1,34,1,34,0,0,0,0
2023.08.08.,1,0,1,1,0,0.0,100.0,1,35,1,35,0,0,0,0
2023.08.09.,1,1,0,1,0,100.0,0.0,0,35,0,35,0,0,0,0
2023.08.10.,1,0,1,1,0,0.0,100.0,0,35,0,35,0,0,0,0
2023.08.11.,4,0,4,4,0,0.0,100.0,3,38,3,38,0,0,0,0
2023.08.12.,0,0,0,0,0,0.0,0.0,0,38,0,38,0,0,0,0
2023.08.13.,2,1,1,3,0,50.0,50.0,0,38,0,38,0,0,0,0
2023.08.14.,1,0,1,1,1,0.0,100.0,0,38,0,38,0,0,0,0
2023.08.15.,0,0,0,0,0,0.0,0.0,0,38,0,38,0,0,0,0
2023.08.16.,2,1,1,2,0,50.0,50.0,1,39,1,39,0,0,0,0
2023.08.17.,2,0,2,3,0,0.0,100.0,3,42,3,42,0,0,0,0
2023.08.18.,2,1,1,3,0,50.0,50.0,1,43,1,43,0,0,0,0
2023.08.19.,1,0,1,1,0,0.0,100.0,0,43,0,43,0,0,0,0
2023.08.20.,2,1,1,2,0,50.0,50.0,0,43,0,43,0,0,0,0
2023.08.21.,0,0,0,0,0,0.0,0.0,2,45,2,45,0,0,0,0
2023.08.22.,2,0,2,2,0,0.0,100.0,1,46,1,46,0,0,0,0
2023.08.23.,2,1,1,2,0,50.0,50.0,0,46,0,46,0,0,0,0
2023.08.24.,4,0,4,4,0,0.0,100.0,1,47,1,47,0,0,0,0
2023.08.25.,0,0,0,0,0,0.0,0.0,0,47,0,47,0,0,0,0
2023.08.26.,0,0,0,0,0,0.0,0.0,0,47,0,47,0,0,0,0
2023.08.27.,0,0,0,0,0,0.0,0.0,0,47,0,47,0,0,0,0
2023.08.28.,0,0,0,0,0,0.0,0.0,0,47,0,47,0,0,0,0
2023.08.29.,0,0,0,0,0,0.0,0.0,2,49,2,49,0,0,0,0
2023.08.30.,3,1,2,3,0,33.33333333333333,66.66666666666666,1,50,1,50,0,0,0,0
2023.08.31.,2,1,1,2,0,50.0,50.0,0,50,0,50,0,0,0,0
2023.09.01.,3,0,3,3,0,0.0,100.0,2,52,2,52,0,0,0,0
2023.09.02.,2,1,1,3,0,50.0,50.0,1,53,1,53,0,0,0,0
2023.09.03.,0,0,0,0,0,0.0,0.0,0,53,0,53,0,0,0,0
2023.09.04.,2,0,2,2,0,0.0,100.0,1,54,1,54,0,0,0,0
2023.09.05.,2,1,1,2,0,50.0,50.0,0,54,0,54,0,0,0,0
2023.09.06.,3,1,2,4,1,33.33333333333333,66.66666666666666,1,55,1,55,0,0,0,0
2023.09.07.,0,0,0,0,0,0.0,0.0,1,56,1,56,0,0,0,0
2023.09.08.,4,2,2,4,0,50.0,50.0,0,56,0,56,0,0,0,0
2023.09.09.,1,0,1,2,1,0.0,100.0,1,57,1,57,0,0,0,0
2023.09.10.,3,1,2,3,0,33.33333333333333,66.66666666666666,-1,56,-1,56,0,0,0,0
2023.09.11.,3,2,1,3,0,66.66666666666666,33.33333333333333,1,57,1,57,0,0,0,0
2023.09.12.,1,1,0,1,0,100.0,0.0,0,57,0,57,0,0,0,0
2023.09.13.,1,1,0,2,0,100.0,0.0,0,57,0,57,0,0,0,0
2023.09.14.,2,1,1,2,0,50.0,50.0,0,57,0,57,0,0,0,0
2023.09.15.,1,0,1,1,0,0.0,100.0,1,58,1,58,0,0,0,0
2023.09.16.,2,1,1,11,0,50.0,50.0,0,58,0,58,0,0,0,0
2023.09.17.,1,1,0,1,0,100.0,0.0,1,59,1,59,0,0,0,0
2023.09.18.,3,1,2,7,2,33.33333333333333,66.66666666666666,1,60,1,60,0,0,0,0
2023.09.19.,1,1,0,1,0,100.0,0.0,0,60,0,60,0,0,0,0
2023.09.20.,2,2,0,2,0,100.0,0.0,1,61,1,61,0,0,0,0
2023.09.21.,4,2,2,7,1,50.0,50.0,0,61,0,61,0,0,0,0
2023.09.22.,2,1,1,2,0,50.0,50.0,0,61,0,61,0,0,0,0
2023.09.23.,0,0,0,0,0,0.0,0.0,0,61,0,61,0,0,0,0
2023.09.24.,2,1,1,2,0,50.0,50.0,0,61,0,61,0,0,0,0
2023.09.25.,2,1,1,3,0,50.0,50.0,0,61,0,61,0,0,0,0
2023.09.26.,1,0,1,1,1,0.0,100.0,1,62,1,62,0,0,0,0
2023.09.27.,0,0,0,0,0,0.0,0.0,0,62,0,62,0,0,0,0
2023.09.28.,0,0,0,0,0,0.0,0.0,1,63,1,63,0,0,0,0
2023.09.29.,0,0,0,0,0,0.0,0.0,0,63,0,63,0,0,0,0
2023.09.30.,0,0,0,0,0,0.0,0.0,0,63,0,63,0,0,0,0
2023.10.01.,1,1,0,1,0,100.0,0.0,0,63,0,63,0,0,0,0
