기준일,전체주문고객,기존고객,신규고객,전체주문건수,전체환불건수,기존고객비율,신규고객비율,관심고객수(증감),관심고객수(누적),알림고객수(증감),알림고객수(누적),VVIP,VIP,골드,실버
2024.05.21.,2,0,2,2,0,0,100,2,355,2,355,0,0,0,0
2024.05.22.,0,0,0,0,0,0,0,1,356,1,356,0,0,0,0
2024.05.23.,3,2,1,3,1,66.66666666666666,33.33333333333333,-1,355,-1,355,0,0,0,0
2024.05.24.,5,0,5,5,0,0,100,2,357,2,357,0,0,0,0
2024.05.25.,0,0,0,0,0,0,0,0,357,0,357,0,0,0,0
2024.05.26.,3,0,3,3,0,0,100,3,360,3,360,0,0,0,0
2024.05.27.,1,0,1,1,0,0,100,0,360,0,360,0,0,0,0
2024.05.28.,1,1,0,1,0,100,0,1,361,1,361,0,0,0,0
2024.05.29.,0,0,0,0,0,0,0,0,361,0,361,0,0,0,0
2024.05.30.,0,0,0,0,0,0,0,1,362,1,362,0,0,0,0
2024.05.31.,1,0,1,1,0,0,100,1,363,1,363,0,0,0,0
2024.06.01.,2,0,2,2,1,0,100,3,366,3,366,0,0,0,0
2024.06.02.,3,0,3,3,0,0,100,4,370,4,370,0,0,0,0
2024.06.03.,3,0,3,3,0,0,100,1,371,1,371,0,0,0,0
2024.06.04.,1,0,1,1,0,0,100,0,371,0,371,0,0,0,0
2024.06.05.,2,1,1,4,0,50,50,0,371,0,371,0,0,0,0
2024.06.06.,3,1,2,3,0,33.33333333333333,66.66666666666666,3,374,3,374,0,0,0,0
2024.06.07.,2,0,2,4,0,0,100,0,374,0,374,0,0,0,0
2024.06.08.,0,0,0,0,0,0,0,0,374,0,374,0,0,0,0
2024.06.09.,2,0,2,2,0,0,100,1,375,1,375,0,0,0,0
2024.06.10.,5,2,3,7,1,40,60,5,380,5,380,0,0,0,0
2024.06.11.,2,0,2,3,0,0,100,1,381,1,381,0,0,0,0
2024.06.12.,5,1,4,7,0,20,80,4,385,4,385,0,0,0,0
2024.06.13.,1,0,1,1,0,0,100,1,386,1,386,0,0,0,0
2024.06.14.,1,0,1,1,1,0,100,0,386,0,386,0,0,0,0
2024.06.15.,0,0,0,0,0,0,0,0,386,0,386,0,0,0,0
2024.06.16.,0,0,0,0,0,0,0,1,387,1,387,0,0,0,0
2024.06.17.,3,0,3,3,0,0,100,3,390,3,390,0,0,0,0
2024.06.18.,1,0,1,1,0,0,100,1,391,1,391,0,0,0,0
2024.06.19.,2,0,2,2,0,0,100,2,393,2,393,0,0,0,0
2024.06.20.,3,1,2,3,0,33.33333333333333,66.66666666666666,6,399,6,399,0,0,0,0
