,연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),월평균노출광고수,경쟁정도
0,호두정과,5510,24100,44.2,275.0,0.83,1.24,8,중간
1,산모에게좋은음식,360,5910,0.5,178.0,0.16,3.21,15,높음
2,견과류답례품,830,5770,5.0,117.6,0.62,2.18,15,높음
3,센스있는답례품,170,5670,1.9,40.8,1.05,0.77,7,높음
4,산모선물,870,3960,0.9,21.8,0.11,0.59,7,높음
65,간식선물,840,3450,4.1,42.3,0.5,1.28,7,높음
5,견과류세트,700,3290,3.1,109.4,0.46,3.52,15,높음
6,승진축하선물,1180,3170,6.6,50.0,0.56,1.62,7,높음
7,골프간식,590,2740,3.6,63.3,0.62,2.47,7,높음
8,답례품선물,270,2600,2.0,39.5,0.75,1.62,7,높음
9,결혼답례선물,210,1970,1.9,99.7,0.89,5.38,15,높음
10,팔순답례품,310,1630,3.2,81.4,1.04,5.34,15,높음
11,고급돌답례품,80,1590,0.9,20.5,1.05,1.4,7,높음
12,견과류선물세트,420,1550,2.5,37.2,0.62,2.53,15,높음
13,어른간식,270,1410,2.9,18.3,1.07,1.38,7,높음
14,환갑답례품,360,1400,5.0,47.0,1.43,3.59,7,높음
15,골프장간식,240,1230,0.6,14.5,0.24,1.29,7,높음
16,답례품전문,250,1190,3.0,63.4,1.2,5.6,15,높음
17,골프라운딩간식,160,1080,1.4,21.0,0.9,2.08,7,높음
18,간식답례품,320,1020,3.3,26.8,1.04,2.74,7,높음
19,답례간식,300,920,2.6,30.3,0.87,3.42,15,높음
20,답례품간식,310,820,2.7,17.0,0.87,2.2,7,높음
21,답례품견과류,200,790,2.0,29.2,1.03,3.86,7,높음
22,부모님간식,120,760,1.4,6.5,1.17,0.9,7,높음
23,견과류선물,330,750,3.3,30.1,1.01,4.16,7,높음
24,견과류강정,130,730,1.0,18.3,0.78,2.65,7,높음
25,고급간식,190,520,0.1,1.0,0.08,0.2,7,높음
26,돌답례,60,400,0.6,13.0,0.94,3.45,7,높음
27,수제강정,80,330,2.6,10.3,2.93,3.31,7,높음
28,꿀호두,70,250,0.3,1.0,0.41,0.42,7,높음
29,결혼답례품쇼핑몰,50,210,1.8,20.8,3.61,10.61,13,중간
30,몸에좋은견과류,30,210,0.0,0.0,0.0,0.0,3,높음
31,결혼식답례,70,180,0.0,1.5,0.0,0.87,7,높음
32,견과류간식,100,180,1.4,3.5,1.45,1.98,7,높음
33,결혼식장답례품,50,160,0.0,0.8,0.0,0.51,7,높음
34,견과류답례,40,130,1.0,4.5,2.23,3.55,7,높음
35,답례품세트,50,120,0.4,2.8,0.86,2.42,7,높음
36,어르신간식선물,30,120,0.1,3.6,0.47,2.84,7,높음
37,소량답례품,30,110,1.0,3.5,2.78,3.31,7,높음
38,결혼답례품추천,40,100,0.0,0.8,0.0,0.86,7,높음
39,고3간식,20,90,0.2,0.3,0.79,0.34,5,중간
40,수제호두정과,< 10,70,0.3,0.3,5.56,0.53,3,높음
41,호두정과세트,20,70,0.0,1.4,0.0,1.95,7,높음
42,조문답례품추천,30,70,0.7,1.1,2.2,1.47,6,중간
43,임산부에게좋은선물,10,60,0.1,0.8,1.3,1.14,7,높음
44,고급견과류세트,< 10,60,0.0,0.3,0.0,0.61,3,높음
45,답례품결혼,10,60,0.0,0.3,0.0,0.44,6,중간
49,결혼후선물,10,50,0.0,0.0,0.0,0.0,3,높음
51,돌답례선물,< 10,50,0.0,0.5,0.0,1.17,7,높음
52,골프칠때간식,10,50,0.0,0.7,0.0,1.29,3,높음
48,결혼답례품호두,10,50,0.0,0.0,0.0,0.0,3,높음
47,견과선물세트,140,50,0.4,3.3,0.32,7.23,7,높음
46,아이들영양간식,10,50,0.0,0.0,0.0,0.0,3,높음
50,유치원간식답례품,< 10,50,0.0,0.3,0.0,0.53,7,높음
53,돌잔치답례선물,10,40,0.7,0.0,4.42,0.0,4,중간
54,답례품견과,10,40,0.0,1.3,0.0,2.78,7,높음
55,어린이집답례간식,< 10,30,0.0,0.3,0.0,1.15,3,높음
56,호두강정답례,10,30,0.0,1.0,0.0,3.2,4,중간
57,결혼감사선물,10,30,0.0,1.8,0.0,5.15,7,높음
58,호두정과추천,< 10,20,0.0,0.0,0.0,0.0,3,높음
59,영양간식추천,10,20,0.0,0.0,0.0,0.0,3,높음
60,돌답례품견과류,< 10,20,0.0,1.3,0.0,6.58,7,높음
61,결혼식답례품순위,< 10,10,0.0,0.0,0.0,0.0,3,높음
62,결혼식답례품포장,< 10,10,0.0,0.3,0.0,3.34,3,높음
63,무설탕호두강정,< 10,10,0.0,0.0,0.0,0.0,3,높음
64,견과류세트선물,< 10,10,0.0,0.3,0.0,1.97,3,높음
