Word,Frequency
답례 품,3980
포장 도,1287
도 좋다,1128
배송 도,1049
만족하다,928
주문,782
좋아하다,759
수건,693
좋다,681
도 빠르다,667
맛있다,600
구매,534
생각,526
먹다,489
감사하다,485
이쁘다,483
도 깔끔하다,450
마음,439
예쁘다,438
도 예쁘다,433
좋다 답례,424
만족스럽다,416
맘,409
빠르다 배송,403
자다,402
선물,393
돌잔치 답례,391
좋다 선물,359
고급스럽다,355
좋다 포장,349
도 이쁘다,348
선택,344
답례 품다,319
디자인 도,313
배송 빠르다,312
선물 좋다,307
제품,300
기분 좋다,300
품 좋다,295
결혼 답례,294
추천,289
많다,284
품 주문,272
귀엽다,271
괜찮다,265
좋다 배송,264
결혼식 답례,264
도 꼼꼼하다,263
해주다 감사하다,263
준비,260
꿀,259
최고,258
구성 도,258
깔끔하다,255
선물 용,254
꿀 스틱,250
도 좋아하다,240
보내다,237
상품,234
고급 지다,231
사용,230
행사,221
만족,221
가성 비,220
고급 지고,216
박스,212
좋다 좋다,207
덕분,206
급하다 주문,205
고르다,201
도 맛있다,200
자수 도,199
품 준비,197
가격 도,194
품 고민,193
사람 도,192
가격 대비,191
돌 답례,191
품 자다,190
디자인,183
구성,180
아주,176
아쉽다,167
품 구매,166
고민,165
도 고급스럽다,165
수건 도,165
에도,163
넣다,162
포장 예쁘다,161
지인,160
꿀 도,158
느낌,155
감사 드리다,155
스티커,153
편하다,153
칭찬,152
센스,150
걱정,149
깔끔하다 좋다,147
반응 좋다,143
포장 깔끔하다,143
자다 사용,143
사장 님,141
도 친절하다,140
사진,139
번창,136
견과류,135
배송 해주다,135
깔끔하다 포장,135
좋다 수건,134
좋다 도,133
아주 좋다,132
퀄리티 좋다,132
이용,131
쓰다,130
품 돌리다,130
따로,129
크다,129
드리다,127
스티커 도,126
사람,125
추가 주문,124
실용 적,122
도 마음,122
꼼꼼하다 포장,120
해주다,119
마음 듭니,118
자수,117
저렴하다,116
빠르다 포장,116
습 니당다,116
문구,115
돌리다,115
처음,115
도 빨르다,115
배송 감사하다,115
구성 좋다,114
직접,113
좋다 제품,113
선물 드리다,113
원하다,112
사다,111
부담,111
비 좋다,110
해주시,108
좋다 상품,108
감사하다 답례,108
품 드리다,108
감동,107
상품 도,107
원하다 날짜,107
뿌듯하다,106
작다,105
도착,104
주문 배송,104
주 문,104
친구,103
간편하다,103
감사하다 배송,103
패키지 도,103
나누다,102
구입,102
도 맘,101
좋다 돌잔치,101
상자,99
부드럽다,99
좋다 가격,99
대 만족,98
포장 이쁘다,98
자다 도착,96
후기,95
제품 도,95
포장 고급스럽다,95
좋다 꿀,95
유통 기한,95
포장 해주다,94
깔끔하다 예쁘다,94
예쁘다 포장,94
도 고급,94
보내다 감사하다,93
먹다 맛있다,93
만족하다 답례,93
나누다 드리다,93
택배,92
날짜 맞추다,91
감사하다 포장,91
핸드 워시,91
찾다,90
세트,90
향 도,90
친절하다 응대,90
자다 먹다,89
결정,88
들어가다,88
쿠키,88
잘쓰다,87
비타민,86
도 귀엽다,86
칭찬 해주다,86
내용물 도,86
문구 도,86
좋다 디자인,85
찾아보다,84
빨리,83
리뷰,83
맞추다,82
퀄리티 도,82
집,81
아기 돌잔치,81
품 딱이다,81
챙기다,80
요청 드리다,80
확인,79
주변,79
시안 도,79
도 괜찮다,79
딱이다,78
요즘,78
행사 자다,78
추천 드리다,78
분들 좋아하다,78
깔끔하다 이쁘다,78
수민 맘,78
이름,77
맞다,76
강추,76
호불호,76
상담 도,76
가족,75
적당하다,75
선물 좋아하다,75
내용물,74
용 좋다,74
예쁘다 자다,74
먹기 도,74
수량,73
자다 치르다,73
도 원하다,73
회사 답례,73
드릴,72
심플,72
늦다,72
해주다 배송,72
돌잔치 자다,72
배송 빨르다,72
자다 선택,72
ㅋ,71
여유,71
드리다 좋아하다,71
만족하다 배송,71
해보다,70
먼저,70
품 최고,70
회사 돌리다,70
남편,69
정성,69
필요하다,69
도톰하다,69
포장 꼼꼼하다,69
제작,68
고맙다,68
느껴지다,68
쇼핑 백,68
고급 진,68
응대 해주다,68
타 올,68
차다,67
진행,67
파다,67
사람 좋아하다,67
박스 도,67
부담 스럽지,67
꼼꼼하다 자다,67
친절하다 상담,67
추가,66
만들다,66
더도톰,66
포장 좋다,66
붙이다,65
완벽하다,65
분들 께,65
자다 전달,65
깔끔하다 자다,65
도 빨리,65
빠르다 친절하다,65
개별 포장,65
판매,64
패키지,64
흔하다,64
포장 상태,64
이쁘다 포장,64
비싸다,63
미리,63
어른,63
신경 쓸다,63
선물 감사하다,63
예쁘다 선물,63
달달,62
시안,62
좋다 결혼,62
좋아하다 감사하다,62
답변 도,62
먹기 좋다,62
회사 분들,62
적,61
서다,61
업체,61
주시,61
도 기분,61
선물 준비,61
넉넉하다,60
떡,60
샘플,60
나중,60
물어보다,60
품 찾다,60
자다 해주다,60
몇개,59
의미,59
연락,59
가볍다,59
손님,59
이라서,59
달,59
이쁘다 배송,59
실제,58
판매 님,58
포장 박스,58
도 답례,58
포장 고급,58
문의 드리다,58
맛있다 먹다,58
좋다 자수,58
케이스,57
무난,57
친절하다 답변,57
박스 포장,57
선물 도,57
다양하다,56
하루 만에,56
주문 빠르다,56
신경 써주다,56
강 추하다,56
고급스럽다 예쁘다,56
자다 맞추다,56
풍 성하다,56
지,55
더욱,55
좋다 결혼식,55
깔끔하다 고급스럽다,55
도 알차다,55
아주 만족하다,55
자다 쓰다,55
핸드 워,55
예정,54
다행,54
앞,54
서비스,53
신경,53
줄,53
뜯다,53
색,53
빨 좋다,53
차다 좋다,53
꼼꼼하다 해주다,53
재 주문,53
알,52
소금,52
품 아주,52
주문 좋다,52
맘 듭니,52
요청 사항,52
색상 도,52
스틱,51
파손,51
아기,51
깔다,51
문제,51
굉장하다,51
손,51
만족스럽다 답례,51
덕분 돌잔치,51
저렴하다 가격,51
기한 도,51
에도 좋다,51
돌잔치 준비,51
깨지다,50
특별하다,50
정성스럽다,50
커피,50
여분,50
배송 좋다,50
품 추천,50
맛있다 좋아하다,50
질 좋다,50
부탁드리다,49
가능하다,49
반응 도,49
급하다,48
사이즈,48
색상,48
기억,48
간식,48
합리 적,48
깔끔하다 고급,48
정성 스럽게,48
도 적당하다,48
검색,47
느끼다,47
추가 구매,47
만족하다 감사하다,47
도 주문,47
수건 퀄리티,47
뭘 고민,47
문의,46
직장,46
달다,46
아,46
둘째,46
너무나,46
건,46
상태 도,46
돌잔치 선물,46
작,45
쓸다,45
니,45
구기다,45
손잡이,45
센스 선물,45
품 알아보다,45
지인 분들,45
감사하다 덕분,45
품질 좋다,45
수건 도톰하다,45
통,44
안전하다,44
다니다,44
응대 도,44
주문 도,44
추천 해주다,44
고급스럽다 선물,44
견과류 도,44
부모님,43
ㅜ,43
국수,43
먹다 꿀,43
도 넉넉하다,43
수건 질,43
천 연,43
튼튼하다,42
후,42
가격,42
무조건,42
두껍다,42
굿굿,42
포,42
도 포장,42
좋아하다 도,42
크기 도,42
안전하다 자다,42
자다 돌리다,42
상담 해주다,42
고민 많다,42
품 뭘,42
간단하다,41
기쁘다,41
별로,41
인거,41
작업,41
그대로,41
항상,41
센스 답례,41
품 급하다,41
에도 이용,41
맘 쏙,41
양도 많다,41
패키징,40
실물,40
발견,40
의사,40
어르신,40
비교,40
주문 해봤다,40
맘 들어서다,40
실용 성,40
아주 만족스럽다,40
훌륭하다,39
다르다,39
짱,39
맛보다,39
적다,39
신선하다,39
흰색,39
마감,39
이며,39
자다 용하다,39
도 다양하다,39
마음 들어서다,39
준비 해주다,39
처리 해주다,39
선물 딱이다,39
센스 칭찬,39
신분,38
라벨,38
이유,38
g,38
쉬다,38
답변 해주다,38
도 빨,38
신분 도,38
상자 도,38
꼼꼼하다 배송,38
님 도,38
자다 보내다,38
손님 도,38
수건 재질,38
재질 도,38
향 좋다,38
하루,37
성품,37
기대,37
해봤다,37
일정,37
보관,37
정갈하다,37
활용,37
생기다,37
톡톡하다,37
호두,37
휴대,37
친절하다 해주다,37
만족도 높다,37
생각 작다,37
꼼꼼하다 해주시,37
자다 마무리,37
맞추다 보내다,37
품 회사,37
감사 인사,37
날짜 배송,37
맞추다 자다,37
알차다,36
기다,36
힘들다,36
어렵다,36
먹기 편하다,36
감사하다 마음,36
좋다 패키지,36
종류 도,36
집 수건,36
상,35
생기,35
중요하다,35
참고,35
오래,35
요청,35
기념,35
재질,35
행복하다,35
보들보들하다,35
자다 좋다,35
자다 답례,35
배송 빨,35
날짜 자다,35
님 친절하다,35
후기 좋다,35
셀프 포장,35
감사 장,35
되게,34
알아보다,34
확실하다,34
며,34
출고,34
보이,34
얇다,34
스콘,34
선물 돌리다,34
마음 쏙,34
예쁘다 고급스럽다,34
디자인 깔끔하다,34
손님 좋아하다,34
배송 감사,34
답례 선물,34
소량 주문,34
도 감사하다,34
고민 수건,34
도톰하다 좋다,34
호두 정,34
살짝,33
엔,33
놓다,33
기간,33
데,33
신속하다,33
열다,33
첫돌,33
품질,33
퇴사,33
브라우니,33
적극 추천,33
빨리 보내다,33
시안 확인,33
보 니까,33
께 드리다,33
제작 해주다,33
남아 먹다,33
안전하다 배송,33
답례 좋다,33
순 답례,33
아주 마음,33
일정 맞추다,33
좋다 습,33
맛있다 칭찬,33
카드 도,33
보,32
높다,32
아침,32
병,32
빼다,32
남기다,32
마무리,32
걸리다,32
찢어지다,32
엄마,32
화면,32
편리하다,32
뭔가,32
종이,32
유용하다,32
소재,32
첫째,32
꿀 맛있다,32
직장 동료,32
소규모 돌잔치,32
자다 나누다,32
물건,31
신청,31
볼,31
기도,31
믿다,31
피드백,31
어린이집,31
싫다,31
당,31
뭐,31
품 도,31
돌리다 좋아하다,31
맞추다 배송,31
회사 사람,31
도 안전하다,31
빠르다 제품,31
드리다 친절하다,31
고민 고민,31
전체 적,31
기분 좋아지다,31
크기,30
인쇄,30
바꾸다,30
대신,30
에서도,30
야하다,30
회사,30
찌그러지다,30
내용,30
토끼,30
빠르다 보내다,30
오신 분들,30
가성 비도,30
디자인 예쁘다,30
자다 쓸다,30
빠르다 상품,30
단체 선물,30
배송 날짜,30
확인 해주다,30
친절하다 빠르다,30
발송 해주다,30
품 으로도,30
수건 자수,30
달 지,30
전달,29
만족도,29
성,29
주,29
은은하다,29
하니,29
요다음,29
신랑,29
버리다,29
말씀,29
실속,29
직원,29
다행하다,29
뱀부얀,29
비 최고,29
깔끔하다 디자인,29
가볍다 선물,29
감사하다 결혼식,29
구성 알차다,29
고급 스럽게,29
포장 상자,29
질도 좋다,29
