Word,Frequency
맛있다,20
후 백,19
좋다,15
품,10
먹다,9
고소하다,9
포장,8
해주다,8
돌리다,7
꼼꼼하다,6
배송,6
자주,6
기분 좋다,6
자다,5
에도,5
팀원,5
좋아하다,5
이용,5
달 지,5
추천,4
반응,4
바삭,4
회사,4
대 만족,4
감사하다,3
만족하다,3
분들,3
추가,3
재,3
고급,3
주,3
적,3
커피,3
고급스럽다,3
신분,3
콩 고물,3
직장,2
동료,2
깔끔하다,2
떡,2
입장,2
스티커,2
며,2
검수,2
빨리,2
보내다,2
고해,2
달에,2
달다,2
변치,2
항상,2
해결,2
가볍다,2
늘,2
믿다,2
사장,2
님,2
찍다,2
크리스마스,2
다가오다,2
려고,2
포장재,2
질도,2
한잔,2
보다도,2
주변,2
재주,2
물다,2
빠르다,2
앞,2
으로도,2
용,2
지난번,2
만족스럽다,2
담,2
가격,2
디자인,2
최고,2
깨지다,2
크다,2
예쁘다,2
사람,2
진,2
손,2
인간,2
건강하다,2
재료,2
만들다,2
믿음,2
직,2
간식,2
부담,2
아주,2
자꾸,2
사다,2
수량,2
부족하다,2
감쟈함다,2
결혼식,1
품용,1
예전,1
문화,1
탄수화물,1
식다,1
호불호,1
몸,1
인식,1
정갈하다,1
기분,1
부착,1
위치,1
글귀,1
구입,1
대,1
확인,1
해주시,1
주위,1
1월,1
친정,1
아버지,1
하늘나라,1
가시,1
찿던중,1
께서,1
5월,1
친정엄마,1
돌아가다,1
답레품,1
꺼,1
냐,1
면서,1
참으로,1
링크,1
달라,1
칭구,1
바싹바싹,1
처음처럼,1
발령,1
날짜,1
급하다,1
처음,1
군데,1
나누다,1
생기다,1
예정,1
지게,1
후백제,1
품다,1
퀄리티,1
상냥하다,1
보장,1
굳이,1
자리,1
찾아오다,1
가족,1
인사,1
부모님,1
께,1
서도,1
칭찬,1
세번,1
째,1
문,1
인위,1
단맛,1
적당하다,1
프로젝트,1
시작,1
응원,1
겸,1
입맛,1
맞다,1
신해,1
가끔,1
배,1
웃음꽃,1
활짝,1
피다,1
생각,1
벌써,1
좋아지다,1
애용,1
제품,1
센스,1
만점,1
어머니,1
순,1
마음,1
귀엽다,1
많다,1
그만큼,1
총알,1
건,1
여기다,1
데,1
당뇨,1
걱정,1
즐기다,1
친절하다,1
더욱,1
조카,1
결혼,1
대신,1
사진,1
작업중,1
올리다,1
하객,1
햇,1
뿌듯,1
번창,1
