,Review
0,결혼식 마치고 직장 동료 답례품용으로 주문하였는데 포장도 깔끔하고 맛도 너무 좋았어요 예전엔 답례 떡을 많이 돌리는 문화였는데 떡은 탄수화물에 바로 먹지않으면 식다보니 호불호가 좀 있었던 것 같은데 호두는 몸에 좋다는 인식도 있고 포장도 정갈히 잘 되어 주는 입장에서도 받는 입장에서도 기분이 좋았습니다
1,스티커 부착위치며 글귀며 꼼꼼히 검수해주시고 빨리배송해주셔서 선물보내면서도 기분이 좋았어요 3번이나 구입했는데 모두 대만족 입니다 감사합니다
2,배송을 각각 다른곳으로 시켰는데 꼼꼼하게 확인도해주시고 호두도 다들 너무 맛있다고해서 너무 만족했어요주위에 답례품 한다고하면 추천하려구요
3,1월달에 친정아버지가 하늘나라로 가시고 직장동료를 답례품을 찿던중에 후백호두강정을 선물로 돌렸더니 모든분들께서 맛있다고들 하시더라구요그런데 5월달에 친정엄마가 돌아가셔서답례품을 해야하는데이번에도 후백호두강정을 답레품으로 돌렸더니반응들이 조으네요어떤 분들은 어디꺼냐면서 참으로 맛있다고 하시네요링크를 보내 달라는 칭구도 있네요호두강정이 고소하고 바싹바싹하고 맛있어요너무 달지도 않구요변치 않은 맛으로 처음처럼 항상 그 맛 변치 않기를요
4,발령자 주문했는데 꼼꼼하게 검수해주시고 날짜도 빨리 해주셔서 감사합니다
5,너무 맛있고 좋았습니다
6,급하게 주문했는데도 바로 해결해주셨고처음 3군데 나눠서 주문했고 추가 구매까지 바로 해결포장도 꼼꼼하고 맛도 좋고다른 일 생겼을 때도 재 구매할 예정입니다
7,언제 먹어도 고급지게 맛있어요 이번엔 가볍게 선물할 곳이 있어서 주문했네요 후백제품은 늘 믿고 주문합니다 맛과 포장 모두퀄리티 대만족
8,이 상냥함 어떻게 할까요 ㅠ맛은 보장합니다 굳이 제 자리까지 찾아와서 가족들이 너무 맛있게 잘 먹었다는 인사를 해주신 분들이 한 둘이 아닙니다포장도 깔끔해서 부모님들께서도 답례품 잘 주문했다고 칭찬해주셨습니다
9,세번째 주문인위적 단맛없이 적당해서 좋아요
10,팀원들과 프로젝트 시작하게 되어서 응원겸 구매했어요 가볍게 자주 구매하는 후백호두강정이 제일 제입맛에 맞더라구요 팀원들도 후백 호두강정 너무 좋아해서 커피대신해서 가끔씩 선물하는 후백 이번에 고소함이 두배인 콩고물로 구매했어요 웃음꽃 활짝피는 팀원들을 생각하니 벌써 기분좋아집니다
11,자주 이용하는  후백바삭하고 달지않은  고소함 또 이용할께요
12,늘 애용하는 후백 제품입니다 믿고 구매합니다 맛있어요 포장도 고급스럽습니다
13,언제 먹어도 고소하고 맛있어요
14,맛 포장 센스 모두 만점인 후백 호두강정 또 이용할께요
15,어머니 팔순 답례품으로 구매했는데 스티커도 마음에 들고 귀여워요받으신분들 다 좋아하시네요 더 먹고싶다는 분들이 진짜 많았어요 그만큼 맛있다는배송도 정말 총알배송맛은 또 얼마나 맛있는지 엄청 바삭하고 제일 좋은건 여기는 다른데보다 많이 달지 않아서 더 좋은것 같아요당뇨 때문에 걱정돼서 단건 안 먹는데 후백호두는 달지않고 고소하고 완전 맛있습니다
16,항상 잘 먹고 있습니다
17,제가 즐겨 구매하는 후백 호두강정입니다 사장님도 너무 친절해서 더더욱좋아하는 후백
18,조카 결혼으로 대신 구매해줬어요사진은 찍은게 없다고 해서 사장님이 작업중에 찍어주신거 올립니다하객들 반응이 엄청 좋았다고해요역시 답례품으로 후백 추천하길 잘햇어요 제가 다 뿌듯 감사해요
19,포장도 굿 맛도 굿입니다후백호두강정 번창하세요
20,"['콩고물은 너무 고소하고 맛나요', '자주 이용하는 후백 호두강정  크리스마스 다가와서 팀원들 주려고 또 구매 포장재질도 고급스럽고 맛도 좋아서 기분좋게하는 선물이네요 커피 한잔보다 후백 호두강정 추천해요 다른 강정보다도 훨씬 바삭하고 맛있어요', '선물받으신분들이 좋아하네요', '주변 반응이 좋아 재주문하였는데 역시 꼼꼼하고 빠른 배송입니다 앞으로도 답례품 구매시에는 후백입니다', '회사 답례용으로 돌리려고 여기서 재주문 했습니다 지난번에 답례품 돌렸을 때도 너무 만족스러웠는데 이번에도 대만족 담에도 답례할 일 있으면 여기서 계속 주문하려구요가격 디자인 맛 모두 최고입니다무엇보다 깨진 호두가 없이 모두 다 크고 예쁜 호두여서 선물 받는 사람들도 기분좋게 받은 것 같습니다너무 달지 않고 고급진 맛이라 계속 손이 가요ㅋㅋ 회사분들도 다 만족해 하셨습니다인간적으로 너무 맛있는거 아닌가요ㅠㅠ 건강한 재료로 만들었다고 하시니까 더 믿음직스러워요 제가 먹을 간식으로 또 주문 할거예요', '넘 고소하고 맛있어서 자주 주문합니다선물하기 부담없어서 좋아요', '아주 맛있습니다자꾸 사게 되네요', '수량 부족해서 추가구매했어요 감쟈함다']"
21,콩고물은 너무 고소하고 맛나요
22,자주 이용하는 후백 호두강정  크리스마스 다가와서 팀원들 주려고 또 구매 포장재질도 고급스럽고 맛도 좋아서 기분좋게하는 선물이네요 커피 한잔보다 후백 호두강정 추천해요 다른 강정보다도 훨씬 바삭하고 맛있어요
23,선물받으신분들이 좋아하네요
24,주변 반응이 좋아 재주문하였는데 역시 꼼꼼하고 빠른 배송입니다 앞으로도 답례품 구매시에는 후백입니다
25,회사 답례용으로 돌리려고 여기서 재주문 했습니다 지난번에 답례품 돌렸을 때도 너무 만족스러웠는데 이번에도 대만족 담에도 답례할 일 있으면 여기서 계속 주문하려구요가격 디자인 맛 모두 최고입니다무엇보다 깨진 호두가 없이 모두 다 크고 예쁜 호두여서 선물 받는 사람들도 기분좋게 받은 것 같습니다너무 달지 않고 고급진 맛이라 계속 손이 가요ㅋㅋ 회사분들도 다 만족해 하셨습니다인간적으로 너무 맛있는거 아닌가요ㅠㅠ 건강한 재료로 만들었다고 하시니까 더 믿음직스러워요 제가 먹을 간식으로 또 주문 할거예요
26,넘 고소하고 맛있어서 자주 주문합니다선물하기 부담없어서 좋아요
27,아주 맛있습니다자꾸 사게 되네요
28,수량 부족해서 추가구매했어요 감쟈함다
