날짜,시간대,배송유형,결제건수(상품주문번호),결제금액,발송건수,발송일준수건수,발송일준수율,배송완료건수,배송완료일준수건수,배송완료일준수율,평균배송기간(일),배송기간48시간내건수,배송시간48시간내비율
2023-12-29,13시,일반배송,1,69000,0,0,,0,0,,0.0,0,
2023-12-29,11시,일반배송,0,0,0,0,,1,0,,1.4559837962962963,1,1.0
2023-12-29,16시,일반배송,0,0,0,0,,3,0,,1.8684683641975308,2,0.6666666666666666
2023-12-29,18시,일반배송,0,0,0,0,,1,0,,1.3546296296296296,1,1.0
2023-12-28,09시,일반배송,3,728500,0,0,,0,0,,0.0,0,
2023-12-28,00시,일반배송,1,343000,0,0,,0,0,,0.0,0,
2023-12-28,12시,일반배송,0,0,0,0,,3,0,,1.9714351851851852,3,1.0
2023-12-28,13시,일반배송,0,0,0,0,,1,0,,1.8103125,1,1.0
2023-12-28,19시,일반배송,0,0,4,4,1.0,0,0,,0.0,0,
2023-12-28,23시,일반배송,0,0,0,0,,1,0,,1.2656944444444445,1,1.0
2023-12-27,16시,일반배송,1,294000,5,5,1.0,0,0,,0.0,0,
2023-12-27,23시,일반배송,1,336000,0,0,,0,0,,0.0,0,
2023-12-27,13시,일반배송,0,0,0,0,,5,0,,1.5495532407407406,5,1.0
2023-12-27,17시,일반배송,0,0,0,0,,1,0,,1.7186689814814813,1,1.0
2023-12-27,18시,일반배송,0,0,0,0,,1,0,,1.7676157407407407,1,1.0
2023-12-27,20시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-12-26,13시,일반배송,3,319000,0,0,,0,0,,0.0,0,
2023-12-26,14시,일반배송,1,171500,0,0,,0,0,,0.0,0,
2023-12-26,18시,일반배송,1,138000,0,0,,0,0,,0.0,0,
2023-12-26,15시,일반배송,0,0,0,0,,1,0,,1.0242939814814815,1,1.0
2023-12-26,20시,일반배송,0,0,7,7,1.0,0,0,,0.0,0,
2023-12-25,18시,일반배송,3,139000,0,0,,0,0,,0.0,0,
2023-12-25,20시,일반배송,1,480000,0,0,,0,0,,0.0,0,
2023-12-24,18시,일반배송,3,77000,0,0,,0,0,,0.0,0,
2023-12-23,15시,일반배송,2,78400,0,0,,0,0,,0.0,0,
2023-12-23,18시,일반배송,1,21000,0,0,,0,0,,0.0,0,
2023-12-23,11시,일반배송,0,0,0,0,,1,0,,2.5353819444444445,0,0.0
2023-12-22,14시,일반배송,2,136000,0,0,,1,0,,1.1540972222222223,1,1.0
2023-12-22,13시,일반배송,0,0,0,0,,1,0,,0.9027662037037038,1,1.0
2023-12-22,16시,일반배송,0,0,2,2,1.0,0,0,,0.0,0,
2023-12-21,16시,일반배송,3,219000,0,0,,2,0,,3.4544560185185187,0,0.0
2023-12-21,10시,일반배송,1,21000,0,0,,0,0,,0.0,0,
2023-12-21,12시,일반배송,1,392000,0,0,,0,0,,0.0,0,
2023-12-21,15시,일반배송,1,32000,0,0,,0,0,,0.0,0,
2023-12-21,18시,일반배송,0,0,2,2,1.0,0,0,,0.0,0,
2023-12-21,23시,일반배송,0,0,0,0,,2,0,,2.417962962962963,0,0.0
2023-12-20,11시,일반배송,1,73500,0,0,,0,0,,0.0,0,
2023-12-20,13시,일반배송,0,0,0,0,,1,0,,2.557592592592593,0,0.0
2023-12-20,17시,일반배송,0,0,4,4,1.0,0,0,,0.0,0,
2023-12-19,13시,일반배송,2,67100,0,0,,1,0,,3.9773842592592596,0,0.0
2023-12-19,16시,일반배송,0,0,0,0,,1,0,,1.6803935185185186,1,1.0
2023-12-19,18시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-12-18,10시,일반배송,1,552000,0,0,,0,0,,0.0,0,
2023-12-18,11시,일반배송,1,1380000,0,0,,0,0,,0.0,0,
2023-12-18,16시,일반배송,0,0,2,2,1.0,0,0,,0.0,0,
2023-12-17,19시,일반배송,1,147000,0,0,,0,0,,0.0,0,
2023-12-17,22시,일반배송,1,146000,0,0,,0,0,,0.0,0,
2023-12-16,21시,일반배송,1,46000,0,0,,0,0,,0.0,0,
2023-12-16,22시,일반배송,1,69000,0,0,,0,0,,0.0,0,
2023-12-16,11시,일반배송,0,0,0,0,,1,0,,1.539386574074074,1,1.0
2023-12-16,19시,일반배송,0,0,0,0,,2,0,,1.1584895833333333,2,1.0
2023-12-15,11시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-12-15,16시,일반배송,0,0,2,2,1.0,0,0,,0.0,0,
2023-12-14,11시,일반배송,1,73500,0,0,,0,0,,0.0,0,
2023-12-14,19시,일반배송,1,115000,0,0,,0,0,,0.0,0,
2023-12-14,21시,일반배송,1,115000,0,0,,0,0,,0.0,0,
2023-12-13,14시,일반배송,1,170500,0,0,,0,0,,0.0,0,
2023-12-12,13시,일반배송,0,0,0,0,,1,0,,5.867569444444444,0,0.0
2023-12-11,16시,일반배송,0,0,1,0,0.0,0,0,,0.0,0,
2023-12-05,16시,일반배송,0,0,0,0,,1,0,,1.6745717592592593,1,1.0
2023-12-05,23시,일반배송,0,0,0,0,,1,0,,1.9617824074074075,1,1.0
2023-12-04,16시,일반배송,1,279000,2,2,1.0,0,0,,0.0,0,
2023-12-03,10시,일반배송,1,196000,0,0,,0,0,,0.0,0,
2023-12-03,11시,일반배송,1,32000,0,0,,0,0,,0.0,0,
2023-12-01,16시,일반배송,0,0,0,0,,1,0,,1.233125,1,1.0
2023-12-01,23시,일반배송,0,0,0,0,,2,0,,3.313981481481482,0,0.0
2023-11-30,10시,일반배송,1,49000,0,0,,0,0,,0.0,0,
2023-11-30,18시,일반배송,0,0,3,3,1.0,0,0,,0.0,0,
2023-11-28,15시,일반배송,2,41600,0,0,,0,0,,0.0,0,
2023-11-28,12시,일반배송,0,0,0,0,,1,0,,1.0095138888888888,1,1.0
2023-11-28,16시,일반배송,0,0,0,0,,1,0,,2.2806944444444444,0,0.0
2023-11-27,12시,일반배송,1,20000,0,0,,0,0,,0.0,0,
2023-11-27,16시,일반배송,0,0,2,2,1.0,0,0,,0.0,0,
2023-11-24,09시,일반배송,1,286000,0,0,,0,0,,0.0,0,
2023-11-16,16시,일반배송,0,0,0,0,,1,0,,1.1462847222222223,1,1.0
2023-11-15,12시,일반배송,1,184000,0,0,,0,0,,0.0,0,
2023-11-15,16시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-11-10,18시,일반배송,0,0,0,0,,3,0,,2.3269868827160494,0,0.0
