상품카테고리(대),상품카테고리(중),상품카테고리(소),상품카테고리(세),상품명,상품ID,결제수,결제상품수량,모바일비율(결제상품수량),결제금액,모바일비율(결제금액),상품수당 결제금액,쿠폰합계,상품쿠폰,주문쿠폰,환불건수,환불금액,환불비율(결제금액),환불수량,환불비율(결제상품수량)
식품,과자/베이커리,강정,-,후백 호두강정 80g 결혼 돌잔치 장례 행사 답례품,8959294188,30,1574,0.7560355781448539,7102900,0.7705866617860311,4512.6429479034305,5000,5000,0,2,555000,0.07813709893142237,130,0.08259212198221093
식품,과자/베이커리,강정,-,고급 답례품 호두강정 3구 (170gx3),9127113863,37,66,0.6212121212121212,2175000,0.6252873563218391,32954.545454545456,0,0,0,4,192000,0.08827586206896551,6,0.09090909090909091
출산/육아,출산/돌기념품,기타출산/돌기념품,-,혼합 고급답례품 호두강정&호두쿠키(호두30%함유),8896571410,24,52,0.3269230769230769,1618000,0.32941903584672433,31115.384615384617,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,고급 답례품 호두강정 2구 (170gx2),9127230119,29,65,0.4153846153846154,1478000,0.40460081190798375,22738.46153846154,0,0,0,1,22000,0.014884979702300407,1,0.015384615384615385
식품,과자/베이커리,강정,-,후백 호두강정 답례품 2구,9127230119,14,62,0.7258064516129032,1405000,0.7217081850533807,22661.290322580644,0,0,0,1,69000,0.04911032028469751,3,0.04838709677419355
식품,과자/베이커리,강정,-,신제품 이벤트 고급 답례 호두강정 미니원통형(80g),8959294188,12,246,0.959349593495935,1205400,0.959349593495935,4900.0,0,0,0,1,98000,0.08130081300813008,20,0.08130081300813008
출산/육아,출산/돌기념품,기타출산/돌기념품,-,고급 답례품 호두강정 3구 170gx3,8640678899,13,24,0.5833333333333334,763000,0.5845347313237221,31791.666666666668,0,0,0,1,64000,0.08387942332896461,2,0.08333333333333333
식품,과자/베이커리,강정,-,고급 보자기 답례품 호두강정 3구 170gx3,9127113863,1,20,0.0,640000,0.0,32000.0,0,0,0,0,0,0.0,0,0.0
식품,과자/베이커리,강정,-,휴대용 호두강정 낱개포장 15g x 12개(200g),8924771794,19,41,0.5853658536585366,574000,0.5853658536585366,14000.0,0,0,0,1,14000,0.024390243902439025,1,0.024390243902439025
식품,과자/베이커리,기타과자,-,단체 고급 간식세트 호두강정 & 호두쿠키,8924923335,7,128,1.0,512000,1.0,4000.0,0,0,0,0,0,0.0,0,0.0
