날짜,요일,시간대,결제자수,결제수,모바일비율(결제건수),결제금액,모바일비율(결제금액),결제당 결제금액,결제상품수량,결제당 상품수량,배송비,쿠폰합계,상품쿠폰,주문쿠폰,환불건수,환불금액,환불비율(결제금액),환불수량,환불비율(결제상품수량)
2024-06-29,토,09시,1,1,1.0,489000,1.0,489000.0,100,100.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-27,목,22시,1,1,1.0,126400,1.0,126400.0,26,26.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-26,수,14시,1,2,1.0,42000,1.0,21000.0,3,1.5,3000,0,0,0,0,0,0.0,0,0.0
2024-06-26,수,13시,1,1,1.0,27000,1.0,27000.0,2,2.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-06-25,화,20시,1,1,1.0,959000,1.0,959000.0,100,100.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-25,화,15시,1,1,1.0,219500,1.0,219500.0,45,45.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-25,화,16시,1,1,1.0,54000,1.0,54000.0,10,10.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-25,화,17시,1,1,1.0,23500,1.0,23500.0,5,5.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-06-25,화,07시,1,1,1.0,19600,1.0,19600.0,4,4.0,3000,0,0,0,0,0,0.0,0,0.0
2024-06-25,화,22시,1,1,1.0,14000,1.0,14000.0,1,1.0,3000,0,0,0,0,0,0.0,0,0.0
2024-06-24,월,14시,2,4,0.25,1221100,0.03693391204651544,305275.0,249,62.25,3000,0,0,0,1,245000,0.2006387683236426,50,0.20080321285140562
2024-06-24,월,01시,1,1,1.0,139400,1.0,139400.0,26,26.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-24,월,07시,1,1,1.0,97000,1.0,97000.0,20,20.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-24,월,10시,1,1,1.0,75600,1.0,75600.0,14,14.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-24,월,18시,1,2,1.0,36000,1.0,18000.0,2,1.0,3000,1000,1000,0,0,0,0.0,0,0.0
2024-06-23,일,22시,2,4,1.0,408000,1.0,102000.0,63,15.75,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-23,일,08시,1,1,0.0,269500,0.0,269500.0,55,55.0,0,0,0,0,0,0,0.0,0,0.0
2024-06-23,일,14시,1,1,1.0,170500,1.0,170500.0,35,35.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-23,일,15시,1,1,1.0,121500,1.0,121500.0,25,25.0,0,1000,1000,0,0,0,0.0,0,0.0
2024-06-22,토,20시,1,1,1.0,342000,1.0,342000.0,70,70.0,0,1000,1000,0,0,0,0.0,0,0.0
