SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
20442,1,금산인삼축제,문화공연,축제,372,4759,5131,20231003
20443,2,보은대추축제,문화공연,축제,189,4516,4705,20231003
20444,3,백제문화제,문화공연,축제,190,4406,4596,20231003
20445,4,장미꽃필무렵,문화공연,축제,218,3910,4128,20231003
20446,5,횡성한우축제,문화공연,축제,292,3771,4063,20231003
20447,6,무창포대하전어축제,문화공연,축제,284,3433,3717,20231003
20448,7,세종축제,문화공연,축제,255,2984,3239,20231003
20449,8,인제가을꽃축제,문화공연,축제,164,2272,2436,20231003
20450,9,김제지평선축제,문화공연,축제,209,2036,2245,20231003
20451,10,홍성남당항대하축제,문화공연,축제,152,2084,2236,20231003
